FROM_ID,TO_ID,DISTANCE,TYPE,HEURISTICS,BIDIRECTIONAL
796,2597,31.09,primary,70,0
2597,1586,19.6,primary,70,0
1586,1579,22.93,primary,70,0
1579,1578,35.08,primary,70,0
1578,2596,31.39,primary,70,0
2596,23,20.92,primary,70,0
23,2595,25.59,primary,70,0
2595,1588,28.21,primary,70,0
1588,2594,10.93,primary,70,0
2594,2591,11.7,primary,70,0
2591,2593,25.5,primary,70,0
2593,1503,26.02,primary,70,0
1503,2592,27.43,primary,70,0
2592,2018,29.04,primary,70,0
2018,2077,32.95,primary,70,0
2077,1590,33.4,primary,70,0
22,2557,16.16,primary,50,0
2557,1393,13.89,primary,50,0
1393,2030,6.82,primary,50,0
2030,1357,9.81,primary,50,0
18,29,6.76,secondary,40,0
29,785,8.98,secondary,40,0
785,1805,6.72,secondary,40,0
1805,789,27.0,secondary,40,0
789,788,5.92,secondary,40,0
788,1605,7.66,secondary,40,0
1605,30,6.5,secondary,40,0
50,1232,5.79,tertiary,50,1
1232,1494,8.04,tertiary,50,1
1494,48,9.46,tertiary,50,1
48,1469,10.64,tertiary,50,1
1469,42,11.5,tertiary,50,1
42,1783,2.61,tertiary,50,1
1783,530,46.5,tertiary,50,1
530,534,87.48,tertiary,50,1
534,80,52.66,tertiary,50,1
2076,731,41.95,tertiary,50,1
731,921,39.66,tertiary,50,1
921,922,20.03,tertiary,50,1
922,51,19.43,tertiary,50,1
51,52,30.14,tertiary,50,1
52,2542,47.81,tertiary,50,1
2542,529,12.59,tertiary,50,1
529,1406,58.22,tertiary,50,1
1406,717,57.72,tertiary,50,1
717,542,6.87,tertiary,50,1
542,1596,29.24,tertiary,50,1
1596,1597,12.88,tertiary,50,1
1597,923,8.48,tertiary,50,1
923,53,9.16,tertiary,50,1
53,2514,8.03,tertiary,50,1
2514,702,7.73,tertiary,50,1
702,54,7.06,tertiary,50,1
54,924,6.75,tertiary,50,1
924,55,7.35,tertiary,50,1
55,925,7.33,tertiary,50,1
925,56,7.51,tertiary,50,1
56,536,7.87,tertiary,50,1
536,1611,116.93,tertiary,50,1
1611,956,32.91,tertiary,50,1
956,103,18.73,tertiary,50,1
50,66,7.27,residential,50,1
66,670,10.58,residential,50,1
80,2685,4.98,living_street,20,1
2685,2680,1.6,living_street,20,1
2680,751,7.38,living_street,20,1
751,81,9.37,living_street,20,1
81,82,15.58,living_street,20,1
82,1919,5.62,living_street,20,1
1919,2874,5.31,living_street,20,1
2874,83,5.56,living_street,20,1
83,84,13.95,living_street,20,1
84,85,13.52,living_street,20,1
85,1255,10.92,living_street,20,1
1255,1799,4.27,living_street,20,1
1799,86,7.9,living_street,20,1
86,87,12.59,living_street,20,1
87,754,25.68,living_street,20,1
609,3375,137.03,residential,50,1
3375,3129,4.54,residential,50,1
3129,198,8.55,residential,50,1
120,2764,7.43,residential,30,1
2764,1233,5.68,residential,30,1
1233,867,20.17,residential,30,1
867,104,14.5,residential,30,1
104,105,17.35,residential,30,1
105,1904,23.58,residential,30,1
1904,106,13.93,residential,30,1
106,870,15.08,residential,30,1
870,107,7.14,residential,30,1
107,868,7.63,residential,30,1
868,869,10.87,residential,30,1
869,108,23.29,residential,30,1
108,375,27.35,residential,30,1
375,871,20.44,residential,30,1
871,872,14.66,residential,30,1
872,109,20.16,residential,30,1
109,1809,22.69,residential,30,1
121,2780,4.99,residential,30,1
